Name,Occupation,Experience,Annual Income,Savings,Information,Invest,Insurance,Criteria,Email,Contact,Education
Aaryahi Bera,Engineer,29,1280747,483913,Internet,Bonds,Travel Insurance,Balanced,badamirhea@mahal.com,7099977080,High School
Hansh Sane,Accountant,24,1191232,911183,Internet,Mutual Funds,Travel Insurance,High Return,yakshitsule@gmail.com,9825008748,Bachelor
Dishani Gala,Lawyer,27,375984,606268,Friend,Bonds,Life Insurance,High Return,kiaravig@kumar.com,6253978815,Masters
Divit Tripathi,Manager,2,1033382,580537,Newspaper,Real Estate,Life Insurance,Low Risk,ybhavsar@saran.org,9812466550,PhD
Nayantara Bali,Lawyer,21,312690,856262,Newspaper,Real Estate,Health Insurance,High Return,sara44@yahoo.com,8685931001,High School
Kimaya Soni,Lawyer,27,471191,767750,Financial Advisor,Mutual Funds,Health Insurance,Low Risk,rohan42@hotmail.com,8846516861,PhD
Siya Lata,Doctor,12,1281941,988606,Financial Advisor,Stocks,Travel Insurance,High Return,anaykrishna@sani.net,9327026148,PhD
Jhanvi Mall,Manager,29,1331972,85787,Newspaper,Bonds,Car Insurance,Balanced,bassibhamini@hotmail.com,9478222502,Masters
Heer Vasa,Teacher,4,495361,557498,TV,Stocks,Health Insurance,Low Risk,kotalagan@bhatnagar.org,7449531351,Masters
Shayak Ahluwalia,Designer,23,657523,109768,Friend,Bonds,Car Insurance,Low Risk,mannat61@yahoo.com,6218941280,Bachelor
Sumer Shukla,Lawyer,4,1199728,860449,Internet,Bonds,Life Insurance,Balanced,tiya84@gmail.com,9193634014,Masters
Ivana Bedi,Doctor,10,663947,443194,Friend,Real Estate,Life Insurance,Low Risk,taranarora@ramesh.biz,7213943647,High School
Aaryahi Bahri,Nurse,15,261885,323962,Financial Advisor,Mutual Funds,Life Insurance,Balanced,czacharia@das-hegde.com,6524979972,Bachelor
Advika Hans,Manager,16,746439,132713,Friend,Gold,Car Insurance,Balanced,mahika82@bhattacharyya-dixit.info,9731337828,Masters
Kashvi Thakkar,Manager,28,559370,928506,Financial Advisor,Gold,Health Insurance,Low Risk,samaira76@krishna.com,6442816997,PhD
Arnav Gala,Nurse,24,259688,161073,Financial Advisor,Stocks,Health Insurance,Balanced,basuriya@din.com,6029409448,Masters
Nakul Varty,Doctor,15,1039449,173438,Internet,Stocks,Travel Insurance,Low Risk,xganesan@hotmail.com,6281843951,High School
Hiran Hegde,Accountant,8,971660,191139,Newspaper,Mutual Funds,Life Insurance,Low Risk,tsuri@hotmail.com,6840707931,Masters
Saksham Bhakta,Manager,21,909699,60020,Financial Advisor,Mutual Funds,Life Insurance,High Return,aaina82@hotmail.com,6113175710,Masters
Prisha Warrior,Manager,9,458453,311942,Newspaper,Real Estate,Travel Insurance,High Return,sumer83@yahoo.com,8077633368,Bachelor
Hiran Rastogi,Accountant,7,456566,413537,Friend,Gold,Health Insurance,Balanced,rbuch@chander-dhar.biz,9143096474,Bachelor
Yuvaan Chander,Nurse,1,1444094,553839,Internet,Gold,Car Insurance,Balanced,dharzaina@chanda.com,6789241069,Bachelor
Prisha Madan,Manager,3,1358034,302413,Financial Advisor,Mutual Funds,Health Insurance,High Return,ogarde@yahoo.com,6844412399,Masters
Kanav Manda,Doctor,5,704432,314255,Newspaper,Real Estate,Car Insurance,Low Risk,iyengarsahil@hotmail.com,6771588315,Bachelor
Kismat Bhandari,Nurse,29,1078544,317874,Internet,Mutual Funds,Life Insurance,High Return,adira11@gmail.com,9406888289,High School
Aarav Goyal,Lawyer,1,1093530,57239,TV,Real Estate,Travel Insurance,Low Risk,baralira@yahoo.com,7970571420,PhD
Drishya Chhabra,Nurse,16,526899,168102,TV,Bonds,Health Insurance,Balanced,dchopra@hotmail.com,8636761289,Masters
Renee Hans,Teacher,26,582257,183759,Newspaper,Stocks,Travel Insurance,High Return,bahlranbir@shroff.net,8583543691,PhD
Sahil Krish,Teacher,9,738831,444379,Friend,Mutual Funds,Travel Insurance,Low Risk,yuvraj-73@hotmail.com,8630314843,Masters
Kaira Kohli,Manager,5,516929,534270,TV,Mutual Funds,Life Insurance,Balanced,kaira01@gmail.com,7278157912,High School
Tushar Hans,Manager,15,1476668,763980,Financial Advisor,Real Estate,Car Insurance,Balanced,godaanya@hotmail.com,6278609475,High School
Dhruv Rege,Nurse,4,1300905,798315,Friend,Mutual Funds,Car Insurance,High Return,urvi49@jayaraman.com,6676741838,PhD
Manjari Thaman,Manager,24,386644,700200,TV,Stocks,Health Insurance,Balanced,chandrannirvi@sami-shenoy.com,8334081279,Masters
Taimur Dara,Designer,5,1307811,999157,Newspaper,Stocks,Health Insurance,Balanced,chatterjeetaimur@hotmail.com,9097641441,Bachelor
Shray Chatterjee,Doctor,5,1410797,686112,Financial Advisor,Bonds,Health Insurance,Balanced,ekala@kibe.org,6672372881,Bachelor
Nirvaan Edwin,Accountant,8,1090902,724216,Financial Advisor,Gold,Life Insurance,Balanced,wdugar@gmail.com,9384754383,High School
Priyansh Rattan,Manager,11,521271,792416,Internet,Mutual Funds,Travel Insurance,Low Risk,kgoyal@chhabra.com,7487622933,PhD
Samarth Bhargava,Lawyer,25,783525,825341,Internet,Gold,Life Insurance,Balanced,adirachakraborty@hotmail.com,6904887435,Bachelor
Shalv Dhingra,Manager,4,1399569,778113,TV,Stocks,Travel Insurance,Low Risk,tusharsaraf@gala-tara.org,7696324064,PhD
Arhaan Atwal,Accountant,30,732598,917350,Internet,Gold,Car Insurance,Balanced,goleeshani@loke.com,6577608545,PhD
Charvi Choudhary,Nurse,3,946617,777809,Financial Advisor,Real Estate,Travel Insurance,Low Risk,khushikaur@yahoo.com,6597370398,PhD
Vanya Balasubramanian,Lawyer,19,608779,239118,Financial Advisor,Mutual Funds,Life Insurance,Balanced,advikaravel@hotmail.com,6793124334,Masters
Nitara Sha,Teacher,13,230209,162443,TV,Real Estate,Life Insurance,Low Risk,anahitagaba@dara-saraf.biz,7693917084,PhD
Mishti Jain,Designer,8,522358,130039,Newspaper,Real Estate,Life Insurance,High Return,somkashvi@chauhan.com,8617890967,PhD
Chirag Bava,Accountant,2,1171622,60225,Newspaper,Mutual Funds,Car Insurance,High Return,dishani44@hotmail.com,6361816567,Bachelor
Rati Agate,Designer,1,371049,912194,Financial Advisor,Mutual Funds,Health Insurance,Balanced,zeeshandugar@sarna.com,6923605855,High School
Ahana  Kapur,Designer,1,631761,357083,Friend,Mutual Funds,Car Insurance,High Return,hansh00@hotmail.com,9424376676,Masters
Lagan Hans,Designer,12,212286,639396,TV,Stocks,Car Insurance,Balanced,lataanay@gmail.com,6851606648,Bachelor
Vivaan Sangha,Engineer,29,484348,650950,Financial Advisor,Mutual Funds,Life Insurance,Balanced,veeragate@kapoor.com,9945061812,PhD
Mahika Dhaliwal,Accountant,27,276973,327716,Friend,Mutual Funds,Health Insurance,Balanced,vdatta@dash.org,6258252182,Masters
Azad Mahajan,Accountant,2,1059311,873195,TV,Gold,Car Insurance,Balanced,sekhonadvika@gmail.com,7555150560,Masters
Shray Rastogi,Engineer,13,1429298,868889,Friend,Mutual Funds,Car Insurance,High Return,hridaan38@yahoo.com,8090273284,PhD
Samiha Bhatti,Accountant,3,1025415,370090,Financial Advisor,Real Estate,Travel Insurance,Low Risk,osinghal@gmail.com,8200085108,Bachelor
Neysa Vaidya,Teacher,11,710209,343906,Internet,Mutual Funds,Travel Insurance,Low Risk,eshani63@sridhar.com,7035873318,Bachelor
Krish Sengupta,Lawyer,25,1050185,485827,Internet,Bonds,Travel Insurance,Low Risk,khanda@yahoo.com,8225952982,Bachelor
Miraan Din,Designer,26,876509,737464,Friend,Bonds,Life Insurance,Balanced,faiyaz78@singh.info,6141766800,Masters
Khushi Brar,Designer,30,268946,310618,TV,Stocks,Life Insurance,Balanced,zjhaveri@gmail.com,9536984922,Bachelor
Taran Karpe,Lawyer,18,1043492,628542,TV,Bonds,Car Insurance,Low Risk,rdass@hegde-luthra.info,9451104721,Masters
Stuvan Bahl,Teacher,22,746661,172210,Newspaper,Mutual Funds,Health Insurance,Low Risk,sahnizeeshan@hotmail.com,7422064816,Bachelor
Kavya Gokhale,Lawyer,28,215625,453575,TV,Stocks,Health Insurance,Balanced,mannatbhatt@grewal.com,7168692183,High School
Urvi Viswanathan,Manager,25,714275,978338,Friend,Stocks,Life Insurance,Balanced,cchaudhry@sunder.com,9819982263,Masters
Kabir Sekhon,Nurse,18,628032,460105,Financial Advisor,Mutual Funds,Health Insurance,Low Risk,kuruvillasana@devan.net,6949793367,High School
Ishita Chaudry,Engineer,22,222716,519899,Financial Advisor,Mutual Funds,Life Insurance,Balanced,asrinivas@hotmail.com,6225373862,PhD
Yakshit Sagar,Teacher,24,452128,616423,Newspaper,Real Estate,Life Insurance,High Return,nayantaraagate@keer-ray.info,7345001887,PhD
Abram Ratta,Accountant,11,501609,339205,Friend,Real Estate,Life Insurance,High Return,dhillonhimmat@sethi-sood.com,6676404354,Masters
Hrishita Agarwal,Designer,4,1319908,255340,Internet,Real Estate,Life Insurance,High Return,gatikbanerjee@gmail.com,6378307573,Masters
Emir Tiwari,Nurse,1,1378187,521060,Friend,Gold,Travel Insurance,High Return,mishti54@hotmail.com,6652458793,PhD
Dhruv Bhargava,Engineer,17,590954,79144,TV,Mutual Funds,Life Insurance,Low Risk,arhaan17@sodhi.com,7645524321,Masters
Nakul D’Alia,Doctor,23,693461,114674,Internet,Real Estate,Life Insurance,Balanced,rattantaran@gmail.com,9801027586,Bachelor
Kaira Atwal,Doctor,16,569745,837101,Internet,Mutual Funds,Travel Insurance,High Return,xwalla@hotmail.com,8084353894,PhD
Raunak Rajagopal,Manager,24,1109765,831146,TV,Bonds,Life Insurance,Balanced,faiyazram@ramanathan.biz,9674236909,PhD
Bhavin Tiwari,Doctor,17,547221,821626,Friend,Mutual Funds,Health Insurance,Balanced,xbora@chahal.com,6732955784,High School
Yasmin Dhingra,Doctor,7,462840,485510,Internet,Stocks,Life Insurance,Balanced,mamootydas@sabharwal.com,9716914595,Bachelor
Himmat Yohannan,Accountant,30,807439,691922,TV,Gold,Health Insurance,Low Risk,kurianraghav@gmail.com,6704045042,PhD
Kabir Chakraborty,Doctor,6,531146,109541,Internet,Mutual Funds,Life Insurance,High Return,hchaudhary@hegde-kapur.info,9721724834,PhD
Yashvi Desai,Engineer,30,1071932,435506,TV,Real Estate,Car Insurance,Balanced,hazeldeol@bhargava-swamy.com,8175533438,PhD
Mamooty Malhotra,Accountant,9,724266,472900,Friend,Stocks,Car Insurance,Low Risk,yadavmamooty@dhillon.org,7541869496,PhD
Mohanlal Kade,Nurse,22,200807,137320,TV,Mutual Funds,Life Insurance,Low Risk,frout@yahoo.com,9149137311,High School
Yuvaan Kumar,Manager,6,1319879,925938,Financial Advisor,Gold,Life Insurance,Balanced,vbobal@gmail.com,8047603604,Masters
Lavanya Atwal,Nurse,21,498750,141453,Friend,Real Estate,Car Insurance,Balanced,lbora@gmail.com,6538444025,Bachelor
Madhup Sem,Teacher,29,1175428,943797,Internet,Mutual Funds,Car Insurance,Balanced,mishtiagate@yahoo.com,7900207542,Masters
Tara Warrior,Teacher,24,272921,910021,TV,Stocks,Life Insurance,Balanced,shanayaswamy@baria.com,7941221736,Bachelor
Vidur Sundaram,Lawyer,22,516532,130322,TV,Stocks,Car Insurance,Low Risk,bajajindranil@koshy.com,6291776369,Bachelor
Taimur Viswanathan,Lawyer,18,503159,251733,Newspaper,Mutual Funds,Life Insurance,Low Risk,paridhillon@gill-rastogi.com,6136978757,Masters
Veer Sandal,Manager,16,723804,998587,Financial Advisor,Stocks,Travel Insurance,High Return,saanvi21@dalia.com,7929075419,Bachelor
Arnav Cherian,Engineer,25,921288,297090,Financial Advisor,Real Estate,Life Insurance,Balanced,kiaan06@yahoo.com,6333820243,High School
Mishti Badal,Engineer,11,550088,257588,Friend,Gold,Car Insurance,Low Risk,qwadhwa@amble.org,6624041893,Bachelor
Yuvaan Gade,Doctor,17,1252126,125314,Friend,Gold,Car Insurance,Low Risk,dashsaanvi@hotmail.com,9338650858,Bachelor
Khushi Salvi,Engineer,5,502510,897552,TV,Bonds,Travel Insurance,Balanced,samrashanaya@hotmail.com,7749664261,High School
Uthkarsh Srivastava,Nurse,11,741035,293633,Financial Advisor,Real Estate,Life Insurance,Low Risk,vaibhav82@srivastava.com,9143742542,PhD
Mannat Chaudhari,Engineer,11,1140212,728198,Friend,Real Estate,Life Insurance,Low Risk,rastogikaira@yahoo.com,7234929077,PhD
Jiya Divan,Designer,11,339534,570962,TV,Bonds,Car Insurance,Balanced,bramanathan@varkey.com,9677007684,Masters
Dhanuk Sathe,Accountant,16,805620,87670,TV,Real Estate,Car Insurance,High Return,indrajitsarraf@shroff.com,8083953903,Bachelor
Aarav Bhandari,Lawyer,25,1216893,485430,Friend,Gold,Life Insurance,Balanced,kiaan18@hotmail.com,9984958376,Bachelor
Romil Rastogi,Accountant,30,1196926,263467,Financial Advisor,Gold,Travel Insurance,Low Risk,nirvi98@hotmail.com,7142116138,High School
Hunar Shere,Manager,4,993218,113414,Newspaper,Real Estate,Life Insurance,Balanced,dhruvjohal@varughese-sangha.info,6310218210,High School
Manjari Chanda,Designer,28,536809,51566,Financial Advisor,Gold,Car Insurance,Balanced,charvi93@yahoo.com,7239600145,Masters
Pranay Iyengar,Engineer,7,433235,134063,Friend,Real Estate,Car Insurance,Balanced,drau@shere-kothari.biz,6541503903,High School
Tejas Wable,Accountant,27,1257614,516483,TV,Mutual Funds,Travel Insurance,Low Risk,kondatarini@yahoo.com,6812231322,High School
Prerak Saran,Accountant,21,426319,85015,Friend,Stocks,Travel Insurance,Low Risk,isalvi@hotmail.com,9384221815,High School
Indrajit Bhakta,Doctor,2,1181147,843673,Financial Advisor,Stocks,Car Insurance,Balanced,nhalder@kumar-kashyap.com,7264931302,PhD
Azad Sekhon,Lawyer,27,770412,749906,Friend,Real Estate,Car Insurance,High Return,twali@issac.com,7544076840,PhD
Amira Chaudhary,Designer,18,419331,147613,Financial Advisor,Gold,Car Insurance,Low Risk,xaurora@gmail.com,9347963414,Masters
Yasmin Joshi,Lawyer,5,218767,336818,Friend,Real Estate,Car Insurance,High Return,fchawla@sant-khare.info,8654169836,High School
Eshani Wable,Engineer,17,1188170,86716,Internet,Stocks,Life Insurance,Low Risk,parinaaz56@gmail.com,9886239195,PhD
Heer Desai,Nurse,20,1195513,108956,Internet,Real Estate,Health Insurance,Balanced,chackotushar@butala.com,7984080097,Masters
Drishya Issac,Nurse,8,1099990,459934,Newspaper,Gold,Travel Insurance,Balanced,lankavaibhav@kalla.org,9343374134,PhD
Mehul Chaudhry,Manager,30,321137,181721,Internet,Real Estate,Travel Insurance,Low Risk,qaurora@mall-dash.com,8821067547,Bachelor
Biju Chaudhry,Doctor,21,585530,798590,Financial Advisor,Stocks,Travel Insurance,High Return,nityakrish@rajagopal.com,8332832297,Masters
Stuvan Mandal,Nurse,9,1352897,262156,Friend,Gold,Car Insurance,Low Risk,alisha22@gmail.com,9288776670,High School
Farhan Hayre,Manager,12,956731,716985,Newspaper,Gold,Life Insurance,Balanced,nehmatcomar@gmail.com,6470716627,Masters
Ojas Kumer,Designer,30,527503,94699,Financial Advisor,Mutual Funds,Health Insurance,Balanced,zara35@yahoo.com,8192934893,PhD
Kiaan Rastogi,Engineer,12,288078,703770,TV,Mutual Funds,Health Insurance,Balanced,hdeo@khurana.com,6254712352,Masters
Sana Warrior,Lawyer,9,929103,338616,Newspaper,Gold,Health Insurance,Low Risk,dharanika@sant-sankar.com,8598662597,High School
Mishti Boase,Lawyer,20,404527,159680,Internet,Mutual Funds,Travel Insurance,Low Risk,riaan83@kapur.com,7045385278,PhD
Vihaan Basu,Teacher,4,452695,398928,Friend,Bonds,Car Insurance,Balanced,romil20@hotmail.com,6362039371,High School
Diya Dada,Teacher,10,549977,652232,Financial Advisor,Mutual Funds,Life Insurance,High Return,sibalarhaan@hotmail.com,9493372073,Masters
Ranbir Devan,Lawyer,28,1195791,870570,TV,Mutual Funds,Car Insurance,Balanced,rashasarna@yahoo.com,8826933739,High School
Shray Ganesan,Designer,4,1418685,978815,Newspaper,Stocks,Life Insurance,Balanced,dhanushvala@hotmail.com,6132972404,Bachelor
Neysa Walla,Lawyer,4,403904,903641,Internet,Stocks,Car Insurance,High Return,sumerchana@gmail.com,7644567639,Masters
Vedika Bandi,Manager,26,1250429,494193,Newspaper,Bonds,Life Insurance,High Return,rania41@hotmail.com,9779063923,High School
Kiaan Majumdar,Accountant,16,397202,458224,Newspaper,Mutual Funds,Life Insurance,High Return,advikabutala@badami-tata.biz,7256033329,PhD
Zeeshan Subramaniam,Accountant,14,780684,295687,Financial Advisor,Bonds,Life Insurance,Balanced,obhavsar@hotmail.com,6021421137,Masters
Renee Bawa,Accountant,6,569780,824774,Friend,Stocks,Car Insurance,High Return,cborra@gmail.com,8101748524,High School
Zeeshan Batra,Lawyer,14,796448,975921,Internet,Stocks,Travel Insurance,Balanced,acharyashalv@hotmail.com,9584661313,High School
Advika Bora,Manager,10,226871,360040,TV,Mutual Funds,Car Insurance,Balanced,nakul55@sodhi.com,6358313237,Masters
Jivika Deshmukh,Doctor,22,592239,835328,TV,Mutual Funds,Health Insurance,High Return,sahil02@hotmail.com,9745844412,Masters
Nishith Kade,Manager,17,1109485,793229,Friend,Real Estate,Life Insurance,Low Risk,sumer04@kothari.com,6016308296,Bachelor
Ehsaan Rattan,Lawyer,30,1474406,589783,TV,Bonds,Life Insurance,Low Risk,ruppal@yahoo.com,9200399020,High School
Dhruv Sama,Doctor,7,1419859,794844,TV,Real Estate,Car Insurance,Low Risk,prerakshukla@bora.biz,8062303003,Masters
Stuvan Chada,Doctor,8,1457645,228286,Friend,Mutual Funds,Health Insurance,Balanced,prishachauhan@gmail.com,6407739908,PhD
Alisha Chaudhary,Nurse,6,263959,225734,Financial Advisor,Gold,Health Insurance,Balanced,lakshaycontractor@doctor.com,6229732103,Masters
Seher Zacharia,Manager,12,281383,808033,Newspaper,Real Estate,Life Insurance,High Return,mkonda@anne.com,7732575177,Bachelor
Keya Agate,Accountant,1,685632,877277,Newspaper,Real Estate,Health Insurance,High Return,veer63@hotmail.com,9796315256,High School
Ira Agarwal,Designer,21,687990,105290,Financial Advisor,Gold,Health Insurance,Low Risk,jiyabir@hotmail.com,7443634918,Bachelor
Hrishita Gade,Doctor,6,676718,477828,TV,Mutual Funds,Health Insurance,Low Risk,divitchatterjee@hotmail.com,7235085094,PhD
Nakul Hegde,Engineer,2,401329,710815,TV,Gold,Travel Insurance,Low Risk,danigatik@yahoo.com,6401776038,PhD
Nayantara Sarna,Lawyer,21,1314369,936372,TV,Bonds,Health Insurance,Low Risk,mohanlalvala@gmail.com,9040855397,PhD
Vidur Sant,Accountant,14,1283895,357819,TV,Real Estate,Car Insurance,Low Risk,sthaman@gmail.com,9035598812,High School
Onkar Choudhary,Nurse,12,1383099,866844,Newspaper,Stocks,Car Insurance,Low Risk,anika99@kari.com,7360414565,Masters
Farhan Solanki,Designer,29,825495,818532,Financial Advisor,Real Estate,Car Insurance,Low Risk,fbehl@sastry.info,9494526115,Bachelor
Yasmin Gera,Designer,15,477347,927903,Newspaper,Gold,Health Insurance,High Return,anahita62@deo.com,6239052870,High School
Inaaya  Halder,Engineer,2,457697,167231,Newspaper,Mutual Funds,Travel Insurance,High Return,goelamira@yahoo.com,6931962170,Bachelor
Khushi Comar,Engineer,23,464938,818881,Friend,Bonds,Travel Insurance,High Return,vaibhav36@hotmail.com,8989968484,High School
Ahana  Varma,Teacher,21,1023501,199544,Internet,Gold,Travel Insurance,High Return,eramanathan@sood.com,7634500514,Bachelor
Ishaan Butala,Engineer,26,1215211,501184,Friend,Gold,Travel Insurance,Low Risk,dattaeva@gmail.com,6596085639,Masters
Jiya Khosla,Accountant,20,428010,775333,Newspaper,Bonds,Car Insurance,Low Risk,chandravanya@hotmail.com,7651733315,Bachelor
Dhanush Wagle,Teacher,21,693409,399127,Financial Advisor,Gold,Life Insurance,Balanced,kkarnik@sule-madan.com,6531568507,Masters
Zaina Ravi,Doctor,23,1088327,904430,Friend,Mutual Funds,Health Insurance,High Return,bentarini@bains.com,9799232912,Masters
Faiyaz Ahuja,Accountant,28,1167074,601912,Internet,Bonds,Life Insurance,Low Risk,madhupwarrior@chhabra-barad.com,8907781341,PhD
Madhup Rajagopal,Designer,16,1289340,119836,Friend,Stocks,Travel Insurance,Balanced,anya39@goswami.biz,8559921100,High School
Taimur Gulati,Accountant,25,735472,756230,Internet,Bonds,Travel Insurance,Low Risk,usrinivasan@cheema-baria.com,8328028956,PhD
Drishya Soman,Engineer,5,407473,560405,Friend,Bonds,Travel Insurance,High Return,basakrenee@dube.com,7921479281,High School
Raunak Kapadia,Designer,23,384008,243634,Friend,Stocks,Car Insurance,Low Risk,somangatik@gara.com,8534835150,Masters
Seher Cherian,Nurse,18,818580,359369,TV,Real Estate,Car Insurance,Low Risk,pkuruvilla@gmail.com,9590619967,Masters
Madhup Bose,Teacher,23,768724,388551,TV,Stocks,Car Insurance,High Return,wmadan@gmail.com,9623308064,Bachelor
Yashvi Virk,Accountant,24,549706,590354,Newspaper,Mutual Funds,Travel Insurance,Balanced,gkrishnamurthy@kota.biz,9598909166,Bachelor
Anay Dash,Accountant,28,508233,414276,Newspaper,Mutual Funds,Travel Insurance,High Return,samarth98@gmail.com,6616578160,Bachelor
Nehmat Shankar,Engineer,24,951220,594198,Newspaper,Real Estate,Life Insurance,High Return,birjayant@hotmail.com,8874778237,Bachelor
Lagan Handa,Lawyer,24,1478837,514015,Internet,Gold,Car Insurance,High Return,rhea72@gmail.com,8585317896,Masters
Raghav Thaman,Designer,29,566522,816446,TV,Bonds,Travel Insurance,Balanced,vardaniya08@wali-deshmukh.com,8189651393,High School
Zain De,Nurse,30,505312,674107,Financial Advisor,Mutual Funds,Car Insurance,Low Risk,mehulchar@hotmail.com,7804403264,PhD
Vaibhav Gala,Teacher,7,408959,636916,Financial Advisor,Mutual Funds,Car Insurance,Balanced,wgera@gmail.com,8867659794,High School
Biju Bora,Designer,30,1234386,540791,TV,Stocks,Life Insurance,High Return,advikabail@bava.com,9915962890,PhD
Myra Borra,Manager,2,840410,245062,Friend,Real Estate,Life Insurance,High Return,ehsaanbansal@yahoo.com,6712486161,High School
Uthkarsh Taneja,Nurse,7,1283262,777093,Financial Advisor,Stocks,Car Insurance,Balanced,priyansh51@deshpande-chanda.biz,6844682249,Bachelor
Hansh Joshi,Manager,5,1382219,639463,Financial Advisor,Stocks,Car Insurance,High Return,shamik90@mandal.biz,7062637739,Masters
Shlok Kuruvilla,Doctor,5,225073,315887,Financial Advisor,Bonds,Travel Insurance,Low Risk,uthkarsh81@hotmail.com,8903757886,PhD
Mahika Behl,Lawyer,13,971129,863275,Friend,Mutual Funds,Travel Insurance,Low Risk,kborah@gmail.com,9515280232,Masters
Taimur Bhat,Teacher,29,239226,649339,Financial Advisor,Bonds,Life Insurance,Low Risk,roykaira@das-edwin.com,8851097630,Bachelor
Hazel Barman,Engineer,2,1452291,438516,Internet,Mutual Funds,Car Insurance,Balanced,chauhananiruddh@gmail.com,8790486005,PhD
Sana Contractor,Designer,15,952861,609361,Newspaper,Stocks,Health Insurance,Balanced,shalvsaha@chaudry.biz,6503781278,Masters
